                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.49798,                0.60654,                0.15294,                0.28915,                0.80998,                0.97307,                 0.8087,                0.85137,                0.73379,                0.96727,                0.80283,                0.84157,                0.74018,                0.73687,                0.86467,                0.20746,                 1.2214,                0.92714,               0.005149,               0.005149,               0.005149
                     52,                0.49669,                0.59952,                0.15204,                0.28801,                0.81006,                0.97349,                0.80735,                0.85171,                0.73391,                0.96741,                0.80108,                0.84151,                0.74074,                0.73811,                0.86311,                 0.2068,                 1.2239,                 0.9289,                0.00505,                0.00505,                0.00505
                     53,                 0.4939,                0.59242,                0.15138,                0.28708,                0.80965,                0.97172,                0.80673,                0.85217,                0.73406,                0.96657,                 0.7995,                0.84125,                0.74069,                0.73978,                0.86258,                0.20644,                 1.2249,                0.93152,               0.004951,               0.004951,               0.004951
                     54,                0.49237,                0.58629,                0.15087,                0.28591,                0.80949,                0.96962,                 0.8064,                 0.8524,                0.73459,                0.96491,                 0.7987,                0.84117,                0.74081,                0.74084,                0.86239,                0.20596,                 1.2273,                0.93353,               0.004852,               0.004852,               0.004852
                     55,                0.48987,                0.58114,                0.15046,                0.28488,                0.80851,                0.96856,                0.80759,                0.85328,                0.73515,                 0.9644,                0.79946,                 0.8418,                0.74144,                0.74071,                0.85993,                0.20549,                 1.1911,                0.93427,               0.004753,               0.004753,               0.004753
                     56,                0.48905,                0.57618,                   0.15,                0.28424,                0.80829,                0.96954,                0.80836,                0.85341,                0.73533,                0.96461,                0.79987,                0.84181,                0.74167,                 0.7414,                0.85892,                0.20484,                 1.1954,                0.93536,               0.004654,               0.004654,               0.004654
                     57,                0.48757,                0.56811,                0.14927,                0.28375,                 0.8081,                0.96852,                0.80965,                0.85429,                 0.7358,                0.96329,                0.80066,                0.84227,                0.74231,                0.74145,                 0.8579,                0.20459,                 1.1894,                0.93608,               0.004555,               0.004555,               0.004555
                     58,                0.48575,                0.56572,                0.14877,                0.28288,                0.80801,                0.96793,                0.80893,                0.85441,                0.73578,                0.96219,                0.79981,                0.84209,                0.74256,                0.74266,                0.85717,                0.20432,                 1.2033,                 0.9375,               0.004456,               0.004456,               0.004456
                     59,                0.48393,                0.56516,                0.14849,                0.28134,                0.80757,                0.96856,                0.80793,                0.85438,                0.73569,                0.96315,                0.79914,                0.84181,                 0.7423,                0.74348,                0.85714,                0.20421,                 1.2347,                0.93923,               0.004357,               0.004357,               0.004357
                     60,                0.48349,                0.56371,                0.14872,                0.28128,                0.80708,                0.96819,                0.80765,                0.85448,                0.73588,                0.96223,                0.79828,                0.84125,                0.74221,                0.74375,                0.85666,                0.20391,                 1.2622,                0.94062,               0.004258,               0.004258,               0.004258
                     61,                0.48087,                0.55029,                0.14778,                0.27956,                0.80735,                0.96803,                 0.8078,                0.85494,                0.73603,                0.96176,                0.79802,                0.84124,                 0.7422,                0.74458,                0.85745,                0.20348,                 1.2901,                0.94216,               0.004159,               0.004159,               0.004159
                     62,                0.48028,                0.55143,                0.14713,                0.27893,                0.80666,                0.96734,                 0.8071,                0.85444,                0.73577,                0.96201,                0.79704,                0.84081,                0.74188,                0.74496,                0.85827,                0.20322,                 1.3319,                0.94355,                0.00406,                0.00406,                0.00406
                     63,                0.47804,                 0.5449,                  0.146,                0.27861,                0.80676,                0.96698,                0.80607,                0.85418,                0.73559,                0.96192,                0.79584,                0.84044,                0.74148,                0.74601,                0.85906,                0.20289,                 1.3753,                0.94529,               0.003961,               0.003961,               0.003961
                     64,                0.47647,                0.53976,                0.14616,                0.27709,                0.80675,                0.96631,                0.80533,                0.85414,                0.73562,                 0.9605,                0.79445,                0.83965,                0.74141,                0.74667,                0.85847,                0.20261,                 1.4081,                0.94634,               0.003862,               0.003862,               0.003862
                     65,                0.47492,                0.53753,                0.14592,                0.27658,                0.80592,                0.96539,                0.80583,                0.85473,                0.73598,                0.95893,                0.79506,                0.83993,                0.74166,                0.74734,                 0.8586,                0.20254,                 1.4239,                0.94744,               0.003763,               0.003763,               0.003763
                     66,                0.47308,                0.52894,                0.14498,                0.27557,                0.80568,                0.96495,                0.80539,                0.85403,                0.73545,                0.95875,                0.79412,                0.83917,                0.74102,                0.74749,                0.86082,                0.20238,                 1.4551,                0.94838,               0.003664,               0.003664,               0.003664
                     67,                0.47119,                0.52631,                0.14446,                0.27453,                0.80551,                0.96476,                0.80434,                0.85281,                0.73473,                0.95895,                 0.7927,                0.83791,                0.73993,                0.74716,                0.86477,                0.20261,                 1.4917,                0.94908,               0.003565,               0.003565,               0.003565
                     68,                0.46995,                0.52167,                0.14456,                0.27399,                 0.8053,                0.96449,                0.80444,                0.85232,                0.73461,                0.95828,                0.79246,                0.83749,                0.73968,                0.74672,                0.86689,                0.20304,                 1.5107,                0.94964,               0.003466,               0.003466,               0.003466
                     69,                0.46888,                0.51737,                0.14351,                0.27315,                0.80542,                0.96472,                0.80356,                0.85213,                0.73464,                0.95787,                 0.7932,                0.83754,                0.73964,                0.74641,                0.86786,                0.20302,                 1.5256,                0.95025,               0.003367,               0.003367,               0.003367
                     70,                0.46634,                0.51288,                0.14354,                0.27178,                0.80466,                0.96368,                0.80399,                0.85214,                0.73448,                0.95739,                0.79255,                0.83732,                0.73995,                0.74664,                0.86789,                0.20313,                  1.536,                0.95136,               0.003268,               0.003268,               0.003268
                     71,                0.46513,                0.50589,                0.14271,                 0.2711,                0.80434,                0.96386,                0.80285,                0.85133,                0.73408,                0.95726,                0.79156,                0.83678,                0.73977,                0.74583,                0.86946,                0.20315,                  1.559,                0.95192,               0.003169,               0.003169,               0.003169
                     72,                0.46325,                0.50166,                0.14241,                0.27002,                0.80374,                0.96473,                0.80259,                0.85074,                0.73383,                0.95786,                0.79154,                0.83658,                0.73972,                0.74553,                 0.8704,                0.20336,                 1.5775,                0.95237,                0.00307,                0.00307,                0.00307
                     73,                0.46182,                0.49845,                0.14227,                0.26913,                0.80378,                0.96473,                0.80253,                0.85053,                0.73385,                0.95803,                0.79193,                0.83661,                0.73961,                0.74478,                0.87175,                0.20353,                 1.5827,                0.95283,               0.002971,               0.002971,               0.002971
                     74,                0.45889,                0.49233,                0.14099,                0.26804,                0.80323,                0.96313,                0.80285,                0.85039,                0.73373,                0.95673,                0.79155,                0.83624,                0.73947,                0.74525,                0.87379,                0.20377,                 1.6016,                0.95393,               0.002872,               0.002872,               0.002872
                     75,                0.45729,                0.48324,                0.14061,                0.26672,                0.80274,                0.96293,                0.80264,                0.85024,                0.73349,                0.95732,                0.79066,                0.83566,                0.73892,                0.74581,                0.87708,                0.20401,                 1.6187,                0.95477,               0.002773,               0.002773,               0.002773
                     76,                0.45628,                0.47771,                0.14047,                0.26628,                0.80302,                0.96321,                0.80237,                0.85008,                0.73334,                0.95705,                0.79095,                0.83568,                0.73879,                0.74611,                0.87873,                0.20413,                 1.6178,                0.95561,               0.002674,               0.002674,               0.002674
                     77,                 0.4544,                0.47465,                0.14039,                0.26548,                0.80273,                 0.9647,                0.80214,                0.85015,                0.73333,                0.95852,                0.79092,                0.83582,                0.73888,                0.74593,                0.87864,                0.20409,                 1.6063,                 0.9556,               0.002575,               0.002575,               0.002575
                     78,                0.45176,                0.47026,                0.13943,                 0.2642,                0.80224,                0.96491,                0.80147,                 0.8497,                0.73291,                0.95824,                0.79082,                0.83562,                 0.7382,                0.74633,                0.88202,                0.20414,                 1.6238,                0.95617,               0.002476,               0.002476,               0.002476
                     79,                0.45028,                0.46409,                 0.1388,                0.26324,                0.80171,                0.96486,                0.80079,                0.84949,                 0.7328,                0.95991,                0.78965,                0.83538,                0.73793,                0.74683,                0.88391,                0.20401,                 1.6327,                0.95672,               0.002377,               0.002377,               0.002377
                     80,                0.44916,                0.46025,                0.13802,                0.26205,                0.80185,                0.96552,                0.80029,                0.84968,                0.73294,                0.96034,                 0.7891,                0.83557,                0.73825,                0.74638,                0.88407,                0.20376,                  1.627,                0.95677,               0.002278,               0.002278,               0.002278
                     81,                0.44686,                0.45444,                0.13782,                0.26092,                0.80133,                0.96521,                 0.8002,                0.84952,                0.73276,                0.95929,                0.78945,                0.83488,                0.73775,                0.74675,                0.88511,                0.20358,                 1.6324,                0.95685,               0.002179,               0.002179,               0.002179
                     82,                0.44398,                0.44977,                0.13745,                0.25984,                0.80088,                 0.9655,                0.80042,                0.84963,                0.73261,                0.95994,                0.78937,                 0.8349,                0.73743,                  0.747,                0.88731,                0.20386,                 1.6435,                0.95747,                0.00208,                0.00208,                0.00208
                     83,                0.44199,                0.44238,                0.13661,                0.25849,                0.80035,                0.96622,                0.80055,                0.84932,                0.73231,                0.95989,                0.78969,                0.83461,                0.73697,                0.74689,                 0.8893,                0.20381,                 1.6566,                 0.9578,               0.001981,               0.001981,               0.001981
                     84,                0.44088,                0.43633,                 0.1362,                0.25778,                0.80059,                0.96596,                0.80068,                0.84932,                0.73217,                0.95979,                0.79008,                 0.8346,                0.73678,                0.74674,                0.89077,                0.20379,                 1.6604,                 0.9581,               0.001882,               0.001882,               0.001882
                     85,                0.43856,                0.43142,                0.13588,                0.25675,                0.80046,                0.96611,                0.80049,                0.84912,                0.73196,                0.96015,                0.78974,                0.83426,                0.73656,                0.74681,                 0.8926,                0.20393,                 1.6638,                0.95845,               0.001783,               0.001783,               0.001783
                     86,                0.43586,                0.42414,                0.13527,                 0.2552,                0.79945,                0.96619,                0.80115,                0.84936,                0.73199,                 0.9598,                 0.7903,                 0.8347,                0.73682,                0.74689,                0.89246,                0.20391,                 1.6527,                 0.9588,               0.001684,               0.001684,               0.001684
                     87,                0.43396,                0.41939,                0.13434,                0.25397,                0.79922,                0.96621,                0.80148,                0.84939,                 0.7321,                0.96043,                0.79044,                0.83479,                0.73683,                0.74586,                0.89305,                0.20381,                 1.6462,                0.95882,               0.001585,               0.001585,               0.001585
                     88,                 0.4316,                0.41276,                0.13379,                0.25288,                 0.7987,                 0.9671,                0.80147,                0.84953,                0.73214,                 0.9602,                 0.7912,                0.83527,                0.73676,                0.74564,                0.89368,                0.20386,                 1.6373,                0.95938,               0.001486,               0.001486,               0.001486
                     89,                0.42975,                0.40845,                0.13351,                 0.2518,                0.79857,                 0.9665,                0.80272,                0.84987,                0.73222,                0.96088,                0.79169,                0.83539,                0.73696,                0.74579,                0.89354,                0.20393,                 1.6135,                0.95938,               0.001387,               0.001387,               0.001387
                     90,                0.42749,                0.39986,                 0.1333,                0.25081,                0.79791,                0.96714,                0.80283,                0.84996,                0.73203,                0.96088,                0.79215,                 0.8355,                0.73691,                0.74619,                0.89476,                0.20401,                 1.5916,                0.95972,               0.001288,               0.001288,               0.001288
                     91,                0.42501,                0.39496,                0.13244,                0.24936,                0.79775,                0.96767,                0.80353,                0.85072,                0.73216,                0.96122,                 0.7926,                 0.8359,                0.73707,                0.74668,                0.89527,                0.20432,                 1.5618,                0.96032,               0.001189,               0.001189,               0.001189
                     92,                0.42293,                0.38679,                0.13191,                0.24839,                0.79745,                0.96811,                 0.8042,                0.85115,                0.73229,                 0.9619,                0.79323,                0.83623,                0.73725,                0.74672,                0.89602,                0.20433,                 1.5508,                0.96081,                0.00109,                0.00109,                0.00109
                     93,                0.41985,                 0.3805,                0.13106,                0.24688,                0.79683,                 0.9694,                0.80405,                0.85145,                0.73237,                0.96218,                0.79379,                0.83645,                0.73711,                0.74694,                0.89741,                0.20455,                  1.538,                0.96124,               0.000991,               0.000991,               0.000991
                     94,                0.41786,                0.37586,                0.13003,                 0.2458,                0.79693,                0.97099,                0.80356,                0.85145,                0.73222,                 0.9637,                0.79326,                 0.8364,                0.73676,                0.74693,                0.89896,                0.20473,                 1.5227,                0.96158,               0.000892,               0.000892,               0.000892
                     95,                0.41555,                0.37067,                0.13065,                0.24435,                0.79622,                0.97189,                0.80349,                0.85171,                0.73245,                0.96421,                0.79285,                0.83601,                0.73654,                0.74624,                0.90034,                0.20494,                 1.5096,                0.96188,               0.000793,               0.000793,               0.000793
